Time :2020-11-05T09:18:30.151675	 Request Type:GET	 Request Path:/post.html 	 Response Code:200 OK

Time :2020-11-05T09:20:08.868782	 Request Type:GET	 Request Path:/post.html 	 Response Code:200 OK

Time :2020-11-05T15:34:44.086	 Request Type:GET	 Request Path:/ 	 Response Code:200 OK

Time :2020-11-05T15:34:44.156	 Request Type:GET	 Request Path:/favicon.ico 	 Response Code:404 Not Found

Time :2020-11-05T15:34:46.029	 Request Type:GET	 Request Path:/page2.html 	 Response Code:200 OK

Time :2020-11-05T15:34:46.044	 Request Type:GET	 Request Path:/tp_it.jpg 	 Response Code:200 OK

Time :2020-11-05T15:34:46.046	 Request Type:GET	 Request Path:/beer.jpg 	 Response Code:200 OK

